role_id,skill_id,importance
1,1,9
1,2,10
1,3,8
1,19,8
1,20,9
1,72,7
1,73,7
2,1,10
2,2,10
2,10,10
2,11,9
2,12,9
2,13,7
2,98,9
2,97,8
3,1,10
3,4,9
3,5,8
3,6,10
3,8,9
3,9,8
3,11,7
3,58,8
4,1,10
4,6,10
4,7,9
4,8,9
4,9,8
4,12,7
4,57,8
4,53,7
5,1,10
5,2,8
5,4,8
5,6,9
5,19,9
5,20,9
5,55,8
5,31,7
6,2,9
6,3,10
6,72,8
6,73,7
6,19,7
6,84,8
6,88,8
7,2,10
7,96,10
7,97,10
7,12,8
7,59,7
7,10,8
7,95,9
8,1,10
8,53,10
8,56,9
8,6,8
8,7,8
8,1,9
8,57,7
9,1,10
9,54,10
9,7,9
9,8,8
9,9,8
9,6,7
10,2,10
10,3,9
10,72,10
10,73,8
10,20,8
10,74,7
11,1,9
11,11,10
11,61,9
11,12,8
11,58,10
11,65,7
11,63,8
12,14,10
12,15,10
12,17,10
12,18,10
12,13,7
12,28,8
13,1,8
13,2,9
13,16,10
13,13,8
13,43,8
13,93,9
14,14,10
14,15,9
14,16,9
14,2,8
14,13,7
14,28,8
15,14,9
15,26,10
15,137,8
15,78,7
15,85,7
16,14,9
16,27,10
16,140,8
16,78,7
16,85,7
17,14,8
17,108,9
17,22,8
17,109,7
17,95,7
18,22,9
18,115,10
18,114,8
18,90,8
18,13,7
19,1,8
19,2,7
19,85,9
19,86,8
19,89,9
19,90,7
20,12,9
20,59,8
20,60,7
20,95,10
20,94,9
20,11,8
20,43,7
21,11,10
21,61,9
21,12,8
21,63,8
21,90,8
21,92,9
21,65,7
22,12,10
22,11,9
22,61,9
22,62,8
22,90,8
22,92,7
23,12,10
23,59,9
23,60,8
23,62,9
23,61,8
23,95,8
24,12,9
24,59,8
24,60,7
24,61,9
24,90,9
24,92,8
24,95,10
25,12,9
25,11,8
25,61,8
25,90,10
25,92,9
25,94,8
26,66,10
26,91,9
26,90,8
26,68,8
26,2,7
26,89,7
27,66,10
27,67,9
27,69,10
27,90,8
27,71,7
28,66,10
28,91,9
28,90,8
28,68,9
28,70,8
28,67,7
29,66,10
29,69,10
29,91,8
29,90,9
29,92,8
30,66,9
30,68,10
30,71,9
30,91,8
30,90,8
31,66,10
31,67,9
31,95,10
31,70,9
31,68,8
32,66,10
32,71,10
32,91,8
32,68,8
32,89,8
33,3,10
33,75,10
33,2,8
33,19,7
33,84,7
33,88,8
34,1,9
34,31,10
34,75,9
34,32,8
34,19,10
34,6,7
35,3,9
35,75,10
35,19,8
35,130,9
35,2,7
35,84,8
36,1,9
36,14,9
36,2,8
36,12,7
36,75,6
36,93,8
37,3,10
37,75,10
37,19,8
37,76,9
37,2,7
38,100,10
38,101,10
38,102,9
38,103,8
38,99,7
38,84,7
39,101,10
39,100,8
39,86,7
39,14,6
39,76,8
40,102,10
40,105,9
40,101,7
40,76,8
40,84,7
41,100,9
41,1,7
41,99,10
41,76,8
41,103,7
41,14,6
42,2,8
42,100,9
42,76,8
42,19,7
42,3,8
42,73,7
43,1,8
43,119,10
43,120,9
43,121,10
43,123,9
43,2,7
44,1,7
44,32,9
44,117,10
44,118,8
44,22,9
44,110,7
45,2,8
45,119,9
45,120,10
45,122,9
45,3,8
45,123,8
46,121,10
46,122,9
46,123,10
46,91,8
46,2,7
46,84,8
47,124,10
47,78,8
47,125,9
47,86,8
47,126,9
47,84,7
48,14,8
48,1,7
48,125,9
48,15,7
48,78,6
48,84,8
49,124,10
49,86,9
49,126,8
49,84,8
49,88,7
50,51,10
50,110,10
50,111,9
50,32,7
50,89,8
50,84,7
51,110,10
51,51,9
51,2,7
51,84,8
51,89,7
52,51,9
52,53,8
52,116,10
52,117,9
52,110,7
52,32,8
53,1,9
53,22,8
53,114,9
53,6,8
53,8,7
53,110,7
54,95,10
54,90,8
54,22,7
54,84,8
54,86,7
55,87,9
55,84,10
55,88,9
55,126,8
55,76,7
56,84,9
56,88,8
56,76,9
56,126,7
56,3,7
57,76,10
57,100,8
57,84,7
57,88,8
57,3,7
58,127,10
58,76,9
58,19,8
58,86,8
58,88,9
59,127,9
59,88,10
59,126,8
59,86,8
59,76,7
60,128,10
60,129,10
60,130,9
60,86,8
60,89,7
61,130,10
61,128,9
61,2,7
61,84,8
61,86,7
62,128,9
62,129,10
62,130,8
62,86,8
62,84,7
63,2,10
63,131,10
63,132,9
63,3,7
63,84,8
63,88,7
64,131,9
64,88,10
64,76,8
64,84,7
64,126,8
65,131,10
65,133,10
65,3,9
65,2,7
65,19,7
66,134,10
66,88,9
66,77,8
66,84,7
66,135,8
67,77,10
67,135,10
67,84,8
67,88,8
67,136,7
68,136,10
68,77,8
68,2,7
68,84,8
68,88,7
69,78,10
69,81,9
69,80,8
69,82,9
69,83,8
69,88,7
70,78,10
70,17,9
70,18,9
70,14,8
70,82,8
70,28,7
71,78,10
71,81,9
71,83,9
71,82,8
71,80,8
71,88,7
72,79,10
72,106,10
72,78,7
72,83,7
72,88,6
73,78,9
73,76,9
73,105,8
73,79,7
73,88,8
73,81,7
